xmin,ymin,xmax,ymax,confidence,class,name,time
24.0,81.0,570.0,847.0,0.2895004153251648,72,refrigerator,17
208.0,544.0,370.0,853.0,0.2945639491081238,0,person,66
35.0,35.0,369.0,846.0,0.32496076822280884,0,person,82
24.0,28.0,361.0,833.0,0.30139681696891785,0,person,83
1.0,12.0,580.0,845.0,0.29152342677116394,0,person,89
13.0,12.0,567.0,848.0,0.30466562509536743,0,person,91
17.0,23.0,552.0,840.0,0.5045212507247925,0,person,92
18.0,25.0,551.0,843.0,0.5513221025466919,0,person,93
11.0,19.0,549.0,847.0,0.6915980577468872,0,person,94
15.0,12.0,541.0,854.0,0.5680561065673828,0,person,95
12.0,8.0,545.0,846.0,0.6120853424072266,0,person,96
11.0,7.0,559.0,846.0,0.4869348704814911,0,person,97
11.0,8.0,559.0,846.0,0.4921993017196655,0,person,98
6.0,24.0,547.0,845.0,0.5194420218467712,0,person,99
29.0,22.0,536.0,842.0,0.5142412185668945,0,person,100
18.0,20.0,546.0,838.0,0.3741367757320404,0,person,101
35.0,14.0,556.0,839.0,0.670907735824585,0,person,102
37.0,12.0,554.0,839.0,0.6459490656852722,0,person,103
55.0,14.0,551.0,855.0,0.3831811249256134,0,person,104
48.0,5.0,545.0,842.0,0.3693239092826843,0,person,105
58.0,13.0,538.0,844.0,0.35527628660202026,0,person,106
88.0,19.0,525.0,845.0,0.35842427611351013,0,person,107
31.0,14.0,560.0,849.0,0.30588075518608093,0,person,113
228.0,11.0,581.0,850.0,0.2635684311389923,0,person,117
291.0,30.0,576.0,845.0,0.3607026934623718,0,person,118
291.0,59.0,576.0,851.0,0.5113635063171387,0,person,119
636.0,9.0,1116.0,844.0,0.26024988293647766,0,person,120
277.0,33.0,595.0,854.0,0.5091918110847473,0,person,120
281.0,31.0,593.0,850.0,0.5823812484741211,0,person,121
281.0,30.0,593.0,851.0,0.5509642958641052,0,person,122
638.0,10.0,1147.0,840.0,0.34594666957855225,0,person,123
280.0,37.0,602.0,842.0,0.40634506940841675,0,person,123
286.0,34.0,606.0,843.0,0.2573237717151642,0,person,124
652.0,13.0,1148.0,845.0,0.28828004002571106,0,person,124
325.0,266.0,588.0,846.0,0.3682701885700226,0,person,126
325.0,264.0,588.0,845.0,0.40515556931495667,0,person,127
326.0,258.0,588.0,846.0,0.33407044410705566,0,person,128
683.0,12.0,1155.0,842.0,0.3233659565448761,0,person,130
338.0,232.0,584.0,848.0,0.28748348355293274,0,person,133
705.0,9.0,1154.0,842.0,0.33197033405303955,0,person,133
337.0,249.0,577.0,849.0,0.4605810046195984,15,cat,136
338.0,247.0,570.0,848.0,0.3008083403110504,15,cat,137
333.0,250.0,565.0,851.0,0.3440563976764679,15,cat,138
2.0,84.0,186.0,267.0,0.46024519205093384,25,umbrella,140
2.0,84.0,185.0,267.0,0.43519511818885803,25,umbrella,141
726.0,13.0,1156.0,823.0,0.256272554397583,0,person,142
3.0,85.0,181.0,267.0,0.28574079275131226,25,umbrella,142
731.0,11.0,1156.0,820.0,0.27994099259376526,0,person,143
2.0,79.0,179.0,260.0,0.354524701833725,25,umbrella,143
325.0,142.0,559.0,842.0,0.2683219015598297,0,person,144
352.0,174.0,604.0,846.0,0.3406890332698822,0,person,157
353.0,175.0,604.0,846.0,0.38065773248672485,0,person,158
346.0,142.0,595.0,847.0,0.32507574558258057,0,person,159
339.0,119.0,599.0,851.0,0.4249705374240875,0,person,160
341.0,123.0,605.0,848.0,0.4040091037750244,0,person,161
404.0,138.0,510.0,217.0,0.29613807797431946,67,cell phone,162
352.0,148.0,627.0,843.0,0.33580055832862854,15,cat,162
301.0,826.0,366.0,859.0,0.30067092180252075,0,person,164
369.0,124.0,635.0,838.0,0.35041797161102295,0,person,164
301.0,826.0,366.0,859.0,0.2690550684928894,0,person,165
370.0,124.0,634.0,838.0,0.4008327126502991,0,person,165
368.0,119.0,623.0,838.0,0.502426028251648,0,person,166
353.0,109.0,611.0,840.0,0.32506200671195984,0,person,167
420.0,95.0,529.0,182.0,0.5018219947814941,67,cell phone,168
326.0,77.0,607.0,853.0,0.3207269608974457,0,person,169
420.0,95.0,529.0,180.0,0.35988783836364746,67,cell phone,169
327.0,77.0,606.0,854.0,0.27943354845046997,0,person,170
420.0,95.0,529.0,180.0,0.3762511909008026,67,cell phone,170
420.0,80.0,531.0,168.0,0.2731461822986603,67,cell phone,171
327.0,77.0,605.0,851.0,0.4746575951576233,39,bottle,171
331.0,56.0,605.0,844.0,0.39521509408950806,39,bottle,172
560.0,384.0,832.0,599.0,0.36384549736976624,63,laptop,173
320.0,47.0,600.0,841.0,0.36785292625427246,39,bottle,173
269.0,30.0,582.0,841.0,0.5608747601509094,0,person,174
266.0,30.0,582.0,842.0,0.5233925580978394,0,person,175
267.0,30.0,584.0,841.0,0.5303971171379089,0,person,176
235.0,36.0,563.0,844.0,0.2516346573829651,0,person,177
405.0,13.0,505.0,87.0,0.2743656039237976,67,cell phone,177
4.0,33.0,536.0,842.0,0.3731124699115753,0,person,180
114.0,41.0,546.0,852.0,0.2938949465751648,0,person,181
119.0,41.0,543.0,853.0,0.3111012876033783,0,person,182
103.0,32.0,528.0,849.0,0.3005877435207367,0,person,183
86.0,13.0,506.0,842.0,0.30966174602508545,0,person,184
29.0,13.0,470.0,845.0,0.307270348072052,0,person,186
14.0,17.0,450.0,836.0,0.348173588514328,0,person,187
7.0,11.0,431.0,839.0,0.32365086674690247,0,person,188
427.0,628.0,903.0,859.0,0.26490333676338196,63,laptop,189
7.0,13.0,431.0,839.0,0.3045032322406769,0,person,189
433.0,665.0,913.0,858.0,0.29396530985832214,72,refrigerator,192
3.0,10.0,405.0,834.0,0.44501960277557373,0,person,192
433.0,664.0,914.0,858.0,0.34814268350601196,72,refrigerator,193
5.0,5.0,404.0,833.0,0.3915702700614929,0,person,193
432.0,664.0,915.0,858.0,0.32239043712615967,72,refrigerator,194
4.0,4.0,404.0,834.0,0.4477073848247528,0,person,194
2.0,9.0,396.0,839.0,0.26268336176872253,0,person,195
0.0,12.0,383.0,845.0,0.2677097022533417,0,person,197
436.0,230.0,761.0,496.0,0.34552720189094543,63,laptop,197
485.0,344.0,818.0,654.0,0.27949973940849304,63,laptop,201
3.0,22.0,440.0,840.0,0.34173783659935,0,person,201
473.0,343.0,855.0,847.0,0.2685699760913849,56,chair,202
2.0,11.0,498.0,851.0,0.7133151888847351,0,person,202
4.0,9.0,526.0,845.0,0.33297857642173767,0,person,203
49.0,8.0,710.0,843.0,0.2650108337402344,0,person,204
632.0,388.0,949.0,679.0,0.2910040020942688,41,cup,204
33.0,13.0,715.0,848.0,0.31698179244995117,0,person,205
632.0,387.0,949.0,682.0,0.4119735360145569,63,laptop,205
44.0,11.0,710.0,847.0,0.35821568965911865,0,person,206
632.0,387.0,949.0,683.0,0.4934408962726593,63,laptop,206
6.0,8.0,497.0,739.0,0.310789555311203,15,cat,210
6.0,7.0,501.0,739.0,0.2584933042526245,15,cat,211
6.0,14.0,491.0,764.0,0.42473459243774414,15,cat,213
15.0,16.0,446.0,732.0,0.3439241945743561,0,person,215
10.0,22.0,391.0,815.0,0.30433619022369385,0,person,218
44.0,35.0,429.0,841.0,0.2871190309524536,0,person,267
407.0,765.0,721.0,862.0,0.3298698663711548,61,toilet,316
371.0,766.0,670.0,862.0,0.2591802477836609,61,toilet,317
848.0,376.0,1158.0,844.0,0.27181702852249146,0,person,317
761.0,588.0,1017.0,853.0,0.27794426679611206,0,person,325
449.0,0.0,800.0,143.0,0.2855089604854584,0,person,325
443.0,0.0,824.0,162.0,0.3442157804965973,0,person,326
443.0,0.0,822.0,162.0,0.3613964319229126,0,person,327
451.0,0.0,919.0,204.0,0.262063592672348,0,person,336
447.0,0.0,920.0,208.0,0.3211727738380432,0,person,337
445.0,0.0,921.0,207.0,0.3478067219257355,0,person,338
446.0,0.0,921.0,207.0,0.27736571431159973,0,person,339
457.0,0.0,952.0,219.0,0.44270119071006775,0,person,342
456.0,0.0,954.0,218.0,0.4084756672382355,0,person,343
460.0,1.0,954.0,220.0,0.3799688518047333,15,cat,344
456.0,0.0,955.0,218.0,0.4251997172832489,0,person,344
453.0,1.0,958.0,205.0,0.47062402963638306,15,cat,345
444.0,2.0,968.0,196.0,0.43725666403770447,15,cat,346
433.0,1.0,980.0,192.0,0.320573091506958,15,cat,347
741.0,3.0,854.0,278.0,0.3375270664691925,0,person,376
579.0,218.0,1153.0,855.0,0.2927265465259552,0,person,384
485.0,0.0,784.0,174.0,0.25140970945358276,0,person,385
581.0,220.0,1155.0,854.0,0.5449983477592468,0,person,385
580.0,220.0,1154.0,854.0,0.5113812685012817,0,person,386
561.0,210.0,1155.0,851.0,0.49161049723625183,0,person,387
572.0,213.0,1158.0,845.0,0.5691668391227722,0,person,388
551.0,0.0,768.0,182.0,0.29181814193725586,0,person,390
624.0,202.0,1154.0,850.0,0.5568775534629822,0,person,390
552.0,0.0,768.0,182.0,0.2980455458164215,0,person,391
624.0,202.0,1153.0,850.0,0.5938699245452881,0,person,391
552.0,0.0,768.0,182.0,0.286817729473114,0,person,392
623.0,204.0,1155.0,851.0,0.5098727345466614,0,person,392
618.0,184.0,1154.0,852.0,0.5692259669303894,0,person,393
525.0,1.0,745.0,195.0,0.3983592391014099,0,person,394
571.0,213.0,1152.0,852.0,0.5777124762535095,0,person,394
559.0,203.0,1158.0,851.0,0.6016772985458374,0,person,395
1025.0,575.0,1158.0,844.0,0.5379043817520142,56,chair,396
539.0,210.0,1141.0,855.0,0.7058583498001099,0,person,396
1024.0,575.0,1158.0,847.0,0.4424065053462982,56,chair,397
549.0,207.0,1135.0,854.0,0.6676961183547974,0,person,397
1025.0,575.0,1158.0,847.0,0.45768651366233826,56,chair,398
549.0,207.0,1135.0,854.0,0.640970766544342,0,person,398
1009.0,572.0,1157.0,853.0,0.27525997161865234,56,chair,399
503.0,1.0,709.0,207.0,0.3757655620574951,0,person,399
523.0,213.0,1117.0,853.0,0.5992414355278015,0,person,399
513.0,222.0,1045.0,856.0,0.463174432516098,0,person,400
488.0,1.0,699.0,215.0,0.6017357707023621,0,person,400
492.0,262.0,981.0,854.0,0.3208468556404114,0,person,401
469.0,3.0,686.0,261.0,0.44624772667884827,0,person,402
478.0,246.0,932.0,860.0,0.6491044759750366,0,person,402
441.0,1.0,682.0,289.0,0.44377726316452026,0,person,403
457.0,262.0,892.0,857.0,0.6144341826438904,0,person,403
963.0,196.0,1157.0,810.0,0.3460230529308319,0,person,404
429.0,1.0,664.0,306.0,0.5739877223968506,0,person,404
455.0,292.0,874.0,854.0,0.6916401982307434,0,person,404
961.0,197.0,1157.0,804.0,0.2773306965827942,0,person,405
430.0,1.0,660.0,305.0,0.5028485059738159,0,person,405
455.0,293.0,874.0,854.0,0.6911677718162537,0,person,405
897.0,271.0,1156.0,853.0,0.3313504457473755,0,person,406
3.0,248.0,209.0,649.0,0.3810935616493225,13,bench,406
431.0,0.0,681.0,315.0,0.502720296382904,0,person,406
456.0,288.0,866.0,853.0,0.5344535708427429,0,person,406
895.0,380.0,1157.0,849.0,0.3159586787223816,0,person,407
429.0,1.0,672.0,313.0,0.40482935309410095,0,person,407
448.0,308.0,841.0,853.0,0.6752319931983948,0,person,407
429.0,2.0,664.0,272.0,0.4382375478744507,0,person,408
423.0,393.0,780.0,852.0,0.5733071565628052,0,person,408
429.0,2.0,660.0,270.0,0.3810829222202301,0,person,409
424.0,393.0,779.0,851.0,0.5955030918121338,0,person,409
429.0,2.0,658.0,270.0,0.34908270835876465,0,person,410
423.0,389.0,784.0,850.0,0.6245301365852356,0,person,410
426.0,368.0,770.0,855.0,0.4951343536376953,0,person,411
442.0,274.0,747.0,851.0,0.5930615067481995,0,person,412
462.0,263.0,732.0,857.0,0.3659633696079254,0,person,413
440.0,297.0,700.0,852.0,0.32014602422714233,0,person,414
441.0,294.0,698.0,853.0,0.3122888207435608,0,person,415
442.0,297.0,697.0,853.0,0.36313730478286743,0,person,416
648.0,608.0,987.0,855.0,0.27505233883857727,0,person,418
663.0,518.0,1015.0,854.0,0.45549890398979187,0,person,420
663.0,548.0,1012.0,855.0,0.41870173811912537,0,person,421
664.0,528.0,1012.0,855.0,0.4295746684074402,0,person,422
667.0,550.0,1031.0,855.0,0.3815116286277771,0,person,423
661.0,470.0,1060.0,855.0,0.32110366225242615,0,person,425
681.0,466.0,1141.0,854.0,0.3868507444858551,0,person,426
681.0,468.0,1141.0,854.0,0.3463945984840393,0,person,427
681.0,468.0,1142.0,854.0,0.357566237449646,0,person,428
691.0,453.0,1155.0,854.0,0.27604249119758606,0,person,429
710.0,466.0,870.0,585.0,0.31606245040893555,67,cell phone,429
713.0,437.0,875.0,569.0,0.2637508511543274,67,cell phone,430
697.0,429.0,1155.0,854.0,0.3433035910129547,0,person,430
714.0,421.0,873.0,566.0,0.30174720287323,67,cell phone,431
705.0,416.0,835.0,540.0,0.3517903983592987,67,cell phone,432
691.0,376.0,1108.0,851.0,0.362669438123703,0,person,432
706.0,415.0,835.0,539.0,0.30026620626449585,67,cell phone,433
695.0,391.0,1089.0,853.0,0.4382059872150421,0,person,433
706.0,415.0,835.0,539.0,0.3062836229801178,67,cell phone,434
695.0,392.0,1086.0,853.0,0.4324304759502411,0,person,434
694.0,355.0,1072.0,850.0,0.4372308552265167,0,person,435
692.0,345.0,1062.0,849.0,0.3650241494178772,0,person,436
479.0,187.0,870.0,859.0,0.2866891324520111,0,person,445
479.0,181.0,871.0,857.0,0.27456337213516235,0,person,446
401.0,137.0,824.0,859.0,0.30389341711997986,0,person,448
360.0,113.0,810.0,859.0,0.3412499725818634,0,person,449
